file,line,kind,target,dynamic,file_kind,status
server/src/GameServer.ts,1571,Table Candidate,engine_maintenance_break_log,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,1609,RPC,fn_thaw_platform,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,1649,RPC,ca_stats_health,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,3646,RPC,reap_dead_engine_leases,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,3685,RPC,fn_db_now,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,3766,RPC,fn_backfill_bomb_pot_award_units,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4012,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4054,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4067,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4090,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4140,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4183,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4236,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4259,Table Candidate,hand_history,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4324,Table Candidate,tournament_players,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4329,Table Candidate,tournament_players,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4412,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4442,Table Candidate,table_seats,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4460,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4495,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4517,Table Candidate,table_seats,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4534,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4551,Table Candidate,table_seats,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4556,Table Candidate,tables,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4668,RPC,cash_tables_needing_engine,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,4926,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5273,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5336,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5505,RPC,fn_sweep_unsettled_tournament_rake,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5532,RPC,fn_tournament_money_conservation,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5564,RPC,fn_detect_results_without_a_hand,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5606,RPC,fn_payout_guarantee_check,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5644,RPC,fn_charge_place_overpays,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5674,RPC,fn_repair_tournament_rake_attribution,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5703,RPC,fn_backpay_tournament_rake_attribution,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5737,RPC,fn_backpay_spin_unpaid_winners,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5788,RPC,fn_spin_expire_unfilled,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,5825,RPC,fn_requeue_unbanked_fees,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
